X,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,Gustan
26,0.0042,https://api.spotify.com/v1/audio-analysis/4Tat5XUR4LT8XXTF42vS7k,0.63,221400,0.952,4Tat5XUR4LT8XXTF42vS7k,0.0375,7,0.0378,-5.541,1,0.178,129.733,4,https://api.spotify.com/v1/tracks/4Tat5XUR4LT8XXTF42vS7k,audio_features,spotify:track:4Tat5XUR4LT8XXTF42vS7k,0.401,0
27,0.139,https://api.spotify.com/v1/audio-analysis/1jPJ6rorvkbc3VUVLeGSLc,0.588,233326,0.813,1jPJ6rorvkbc3VUVLeGSLc,3.98E-06,7,0.24,-5.314,1,0.224,168.294,4,https://api.spotify.com/v1/tracks/1jPJ6rorvkbc3VUVLeGSLc,audio_features,spotify:track:1jPJ6rorvkbc3VUVLeGSLc,0.767,0
28,0.075,https://api.spotify.com/v1/audio-analysis/6IMIx38wIqHoLTdGcBwyEC,0.651,218160,0.873,6IMIx38wIqHoLTdGcBwyEC,0,7,0.19,-4.719,1,0.0367,82.655,4,https://api.spotify.com/v1/tracks/6IMIx38wIqHoLTdGcBwyEC,audio_features,spotify:track:6IMIx38wIqHoLTdGcBwyEC,0.868,0
29,0.104,https://api.spotify.com/v1/audio-analysis/6zfTUzKLKRXeSzIl7DYPvq,0.634,222133,0.851,6zfTUzKLKRXeSzIl7DYPvq,0,7,0.216,-3.642,1,0.0689,170.002,4,https://api.spotify.com/v1/tracks/6zfTUzKLKRXeSzIl7DYPvq,audio_features,spotify:track:6zfTUzKLKRXeSzIl7DYPvq,0.808,0
30,0.395,https://api.spotify.com/v1/audio-analysis/0FsbKGWGfJkDXEl7Lqy3r2,0.581,188707,0.399,0FsbKGWGfJkDXEl7Lqy3r2,0,1,0.094,-8.609,0,0.03,120.143,4,https://api.spotify.com/v1/tracks/0FsbKGWGfJkDXEl7Lqy3r2,audio_features,spotify:track:0FsbKGWGfJkDXEl7Lqy3r2,0.388,0
31,0.469,https://api.spotify.com/v1/audio-analysis/1NwaFFhWYG0CicdAnRkjoB,0.691,259320,0.472,1NwaFFhWYG0CicdAnRkjoB,0.0151,0,0.501,-18.646,1,0.0389,115.801,4,https://api.spotify.com/v1/tracks/1NwaFFhWYG0CicdAnRkjoB,audio_features,spotify:track:1NwaFFhWYG0CicdAnRkjoB,0.961,1
32,0.141,https://api.spotify.com/v1/audio-analysis/7iXRsjttPa62GpOcqsx1aE,0.593,207187,0.691,7iXRsjttPa62GpOcqsx1aE,0,2,0.114,-7.638,1,0.0253,99.946,4,https://api.spotify.com/v1/tracks/7iXRsjttPa62GpOcqsx1aE,audio_features,spotify:track:7iXRsjttPa62GpOcqsx1aE,0.2,1
33,0.378,https://api.spotify.com/v1/audio-analysis/1sZFIMGmKUYycerZSZb99O,0.752,258757,0.923,1sZFIMGmKUYycerZSZb99O,0,4,0.376,-6.923,1,0.0539,125.989,4,https://api.spotify.com/v1/tracks/1sZFIMGmKUYycerZSZb99O,audio_features,spotify:track:1sZFIMGmKUYycerZSZb99O,0.772,1
34,0.68,https://api.spotify.com/v1/audio-analysis/60tHnsX3x7X17LCX13uOqv,0.726,252471,0.69,60tHnsX3x7X17LCX13uOqv,0,11,0.836,-2.863,1,0.0584,141.988,4,https://api.spotify.com/v1/tracks/60tHnsX3x7X17LCX13uOqv,audio_features,spotify:track:60tHnsX3x7X17LCX13uOqv,0.839,0
35,0.269,https://api.spotify.com/v1/audio-analysis/1AkYrrhn1iuyN6zTXVlmsC,0.729,235200,0.658,1AkYrrhn1iuyN6zTXVlmsC,0,5,0.0756,-3.465,1,0.0339,119.815,4,https://api.spotify.com/v1/tracks/1AkYrrhn1iuyN6zTXVlmsC,audio_features,spotify:track:1AkYrrhn1iuyN6zTXVlmsC,0.467,0
36,0.114,https://api.spotify.com/v1/audio-analysis/7IwNPHjpZMkggv0qlh1rUO,0.62,217760,0.873,7IwNPHjpZMkggv0qlh1rUO,2.64E-05,0,0.0849,-4.657,1,0.0845,187.046,4,https://api.spotify.com/v1/tracks/7IwNPHjpZMkggv0qlh1rUO,audio_features,spotify:track:7IwNPHjpZMkggv0qlh1rUO,0.962,1
37,0.407,https://api.spotify.com/v1/audio-analysis/2h6WIOkTPvHSAD7vR6lMSS,0.61,292773,0.849,2h6WIOkTPvHSAD7vR6lMSS,0,8,0.28,-4.382,1,0.0461,177.634,4,https://api.spotify.com/v1/tracks/2h6WIOkTPvHSAD7vR6lMSS,audio_features,spotify:track:2h6WIOkTPvHSAD7vR6lMSS,0.742,1
38,0.497,https://api.spotify.com/v1/audio-analysis/0SmdStRTTqPrTBb2KOavpW,0.749,299640,0.714,0SmdStRTTqPrTBb2KOavpW,3.28E-06,1,0.276,-5.563,1,0.045,94.982,4,https://api.spotify.com/v1/tracks/0SmdStRTTqPrTBb2KOavpW,audio_features,spotify:track:0SmdStRTTqPrTBb2KOavpW,0.65,0
39,0.016,https://api.spotify.com/v1/audio-analysis/6P66bTvq49v0JpHMvaww1q,0.676,196164,0.941,6P66bTvq49v0JpHMvaww1q,0,7,0.173,-3.121,0,0.0523,97.993,4,https://api.spotify.com/v1/tracks/6P66bTvq49v0JpHMvaww1q,audio_features,spotify:track:6P66bTvq49v0JpHMvaww1q,0.81,0
40,0.359,https://api.spotify.com/v1/audio-analysis/4PClbSGzxq1oHBq0dHeSIx,0.761,169360,0.781,4PClbSGzxq1oHBq0dHeSIx,3.27E-05,6,0.837,-5.143,0,0.0325,126.006,4,https://api.spotify.com/v1/tracks/4PClbSGzxq1oHBq0dHeSIx,audio_features,spotify:track:4PClbSGzxq1oHBq0dHeSIx,0.883,1
41,0.0137,https://api.spotify.com/v1/audio-analysis/7CGdYdZIkZDyeudNMVJZRd,0.606,213020,0.534,7CGdYdZIkZDyeudNMVJZRd,0,2,0.0759,-8.014,1,0.0307,143.93,4,https://api.spotify.com/v1/tracks/7CGdYdZIkZDyeudNMVJZRd,audio_features,spotify:track:7CGdYdZIkZDyeudNMVJZRd,0.323,1
42,0.418,https://api.spotify.com/v1/audio-analysis/1bp5bNpii3BJVfuoOF1aOW,0.627,171561,0.573,1bp5bNpii3BJVfuoOF1aOW,0.00133,5,0.321,-7.034,1,0.213,189.957,3,https://api.spotify.com/v1/tracks/1bp5bNpii3BJVfuoOF1aOW,audio_features,spotify:track:1bp5bNpii3BJVfuoOF1aOW,0.81,0
43,0.135,https://api.spotify.com/v1/audio-analysis/6CUVYoLTnnW1lxs1RH9Nj3,0.732,207130,0.639,6CUVYoLTnnW1lxs1RH9Nj3,0,1,0.173,-8.07,1,0.0557,95.982,4,https://api.spotify.com/v1/tracks/6CUVYoLTnnW1lxs1RH9Nj3,audio_features,spotify:track:6CUVYoLTnnW1lxs1RH9Nj3,0.562,0
44,0.432,https://api.spotify.com/v1/audio-analysis/5WsCkvrCwgo2RKUEtBWewu,0.534,151080,0.666,5WsCkvrCwgo2RKUEtBWewu,0.00742,4,0.255,-8.373,1,0.0359,91.133,4,https://api.spotify.com/v1/tracks/5WsCkvrCwgo2RKUEtBWewu,audio_features,spotify:track:5WsCkvrCwgo2RKUEtBWewu,0.889,1
45,0.0409,https://api.spotify.com/v1/audio-analysis/1Jd7NnBHPmc0i6yiP0DjgC,0.78,300080,0.86,1Jd7NnBHPmc0i6yiP0DjgC,0.000259,10,0.0672,-10.755,0,0.0533,98.996,4,https://api.spotify.com/v1/tracks/1Jd7NnBHPmc0i6yiP0DjgC,audio_features,spotify:track:1Jd7NnBHPmc0i6yiP0DjgC,0.643,1
46,0.141,https://api.spotify.com/v1/audio-analysis/5BRqCtLzq67SZyjEndRKhZ,0.664,233549,0.545,5BRqCtLzq67SZyjEndRKhZ,0,0,0.281,-8.556,1,0.028,106.381,4,https://api.spotify.com/v1/tracks/5BRqCtLzq67SZyjEndRKhZ,audio_features,spotify:track:5BRqCtLzq67SZyjEndRKhZ,0.645,0
47,0.122,https://api.spotify.com/v1/audio-analysis/5BSYu3CEg0L9sDBNXOwKTk,0.681,308837,0.634,5BSYu3CEg0L9sDBNXOwKTk,0,11,0.106,-6.885,0,0.0349,80.115,4,https://api.spotify.com/v1/tracks/5BSYu3CEg0L9sDBNXOwKTk,audio_features,spotify:track:5BSYu3CEg0L9sDBNXOwKTk,0.779,1
48,0.0316,https://api.spotify.com/v1/audio-analysis/21p6r40dl0Mk0CCleTPR0C,0.768,287547,0.832,21p6r40dl0Mk0CCleTPR0C,9.79E-06,7,0.0869,-6.768,1,0.0312,125.284,4,https://api.spotify.com/v1/tracks/21p6r40dl0Mk0CCleTPR0C,audio_features,spotify:track:21p6r40dl0Mk0CCleTPR0C,0.938,0
49,0.00443,https://api.spotify.com/v1/audio-analysis/793aJblSwUr9LywORJXdKR,0.508,176960,0.776,793aJblSwUr9LywORJXdKR,1.80E-05,7,0.0853,-5.695,1,0.075,134.8,3,https://api.spotify.com/v1/tracks/793aJblSwUr9LywORJXdKR,audio_features,spotify:track:793aJblSwUr9LywORJXdKR,0.521,0
50,0.0732,https://api.spotify.com/v1/audio-analysis/05VPg3x0nVKmB4q9tcYEmH,0.759,214831,0.634,05VPg3x0nVKmB4q9tcYEmH,4.02E-05,9,0.275,-10.345,0,0.0453,89.996,4,https://api.spotify.com/v1/tracks/05VPg3x0nVKmB4q9tcYEmH,audio_features,spotify:track:05VPg3x0nVKmB4q9tcYEmH,0.826,0
51,0.883,https://api.spotify.com/v1/audio-analysis/06SIyOvsCtnELxInbRG2Cn,0.535,299359,0.366,06SIyOvsCtnELxInbRG2Cn,0.0279,0,0.0873,-10.384,1,0.0256,100.022,4,https://api.spotify.com/v1/tracks/06SIyOvsCtnELxInbRG2Cn,audio_features,spotify:track:06SIyOvsCtnELxInbRG2Cn,0.199,1
52,0.0534,https://api.spotify.com/v1/audio-analysis/2UaEiQ6ajUAxtzHBvVzsck,0.688,197840,0.808,2UaEiQ6ajUAxtzHBvVzsck,0.000168,2,0.0943,-7.215,1,0.0494,88.049,4,https://api.spotify.com/v1/tracks/2UaEiQ6ajUAxtzHBvVzsck,audio_features,spotify:track:2UaEiQ6ajUAxtzHBvVzsck,0.843,1
53,0.425,https://api.spotify.com/v1/audio-analysis/74D5vPIqKXeha7ElxMLc8Z,0.728,251133,0.635,74D5vPIqKXeha7ElxMLc8Z,0,1,0.244,-6.663,0,0.0518,141.943,4,https://api.spotify.com/v1/tracks/74D5vPIqKXeha7ElxMLc8Z,audio_features,spotify:track:74D5vPIqKXeha7ElxMLc8Z,0.745,0
54,0.267,https://api.spotify.com/v1/audio-analysis/5bkWgrKyNhMcriQP3CrHEA,0.727,272267,0.857,5bkWgrKyNhMcriQP3CrHEA,0,9,0.112,-3.185,1,0.0412,91.149,4,https://api.spotify.com/v1/tracks/5bkWgrKyNhMcriQP3CrHEA,audio_features,spotify:track:5bkWgrKyNhMcriQP3CrHEA,0.94,1
55,0.0649,https://api.spotify.com/v1/audio-analysis/1zNFAtHImsWy54qSIK2UPd,0.756,172408,0.352,1zNFAtHImsWy54qSIK2UPd,0,0,0.136,-8.991,1,0.0573,105.764,3,https://api.spotify.com/v1/tracks/1zNFAtHImsWy54qSIK2UPd,audio_features,spotify:track:1zNFAtHImsWy54qSIK2UPd,0.883,0
56,0.112,https://api.spotify.com/v1/audio-analysis/555PClCDUlHrTnzyeJSgbn,0.674,217199,0.68,555PClCDUlHrTnzyeJSgbn,0.000358,7,0.212,-8.07,1,0.0443,149.966,4,https://api.spotify.com/v1/tracks/555PClCDUlHrTnzyeJSgbn,audio_features,spotify:track:555PClCDUlHrTnzyeJSgbn,0.867,0
57,0.0472,https://api.spotify.com/v1/audio-analysis/2qBpADv5n7EwwaI10aZs48,0.745,254380,0.704,2qBpADv5n7EwwaI10aZs48,0.231,7,0.289,-7.971,1,0.0583,117.732,4,https://api.spotify.com/v1/tracks/2qBpADv5n7EwwaI10aZs48,audio_features,spotify:track:2qBpADv5n7EwwaI10aZs48,0.891,1
58,0.849,https://api.spotify.com/v1/audio-analysis/2cdK1ttfHcMDFlXEo8oRrY,0.713,242267,0.252,2cdK1ttfHcMDFlXEo8oRrY,0,0,0.0791,-10.637,1,0.035,143.785,4,https://api.spotify.com/v1/tracks/2cdK1ttfHcMDFlXEo8oRrY,audio_features,spotify:track:2cdK1ttfHcMDFlXEo8oRrY,0.619,1
59,0.532,https://api.spotify.com/v1/audio-analysis/28Rz1zJGraIv2Q5bJjzvoX,0.771,244338,0.89,28Rz1zJGraIv2Q5bJjzvoX,1.06E-05,8,0.0484,-6.381,1,0.046,134.949,4,https://api.spotify.com/v1/tracks/28Rz1zJGraIv2Q5bJjzvoX,audio_features,spotify:track:28Rz1zJGraIv2Q5bJjzvoX,0.877,0
60,0.59,https://api.spotify.com/v1/audio-analysis/68Y9OKGMbnKL38o2gFEaoD,0.582,164507,0.223,68Y9OKGMbnKL38o2gFEaoD,0,2,0.399,-17.95,0,0.0363,104.691,4,https://api.spotify.com/v1/tracks/68Y9OKGMbnKL38o2gFEaoD,audio_features,spotify:track:68Y9OKGMbnKL38o2gFEaoD,0.831,0
